x y Depth Vs
457.3858 284.1479 29.6 3.756
457.3858 284.1479 29.7 3.756
457.3858 284.1479 29.8 3.756
457.3858 284.1479 29.9 3.756
457.3858 284.1479 30.0 3.756
457.3858 284.1479 30.1 3.756
457.3858 284.1479 30.2 3.756
457.3858 284.1479 30.3 3.756
457.3858 284.1479 30.4 3.756
457.3858 284.1479 30.5 3.756
457.3858 284.1479 30.6 3.756
457.3858 284.1479 30.7 3.756
457.3858 284.1479 30.8 3.756
457.3858 284.1479 30.9 3.756
457.3858 284.1479 31.0 3.756
457.3858 284.1479 31.1 3.756
457.3858 284.1479 31.2 3.756
457.3858 284.1479 31.3 3.756
457.3858 284.1479 31.4 3.756
457.3858 284.1479 31.5 3.756
457.3858 284.1479 31.6 3.756
457.3858 284.1479 31.7 3.756
457.3858 284.1479 31.8 3.756
457.3858 284.1479 31.9 3.756
457.3858 284.1479 32.0 3.756
457.3858 284.1479 32.1 3.756
457.3858 284.1479 32.2 3.756
457.3858 284.1479 32.3 3.756
457.3858 284.1479 32.4 3.756
457.3858 284.1479 32.5 3.756
457.3858 284.1479 32.6 3.756
457.3858 284.1479 32.7 3.756
457.3858 284.1479 32.8 3.756
457.3858 284.1479 32.9 3.756
457.3858 284.1479 33.0 3.756
457.3858 284.1479 33.1 3.756
457.3858 284.1479 33.2 3.756
457.3858 284.1479 33.3 3.756
457.3858 284.1479 33.4 3.756
457.3858 284.1479 33.5 3.756
457.3858 284.1479 33.6 3.756
457.3858 284.1479 33.7 3.756
457.3858 284.1479 33.8 3.756
457.3858 284.1479 33.9 3.756
457.3858 284.1479 34.0 3.756
457.3858 284.1479 34.1 3.756
457.3858 284.1479 34.2 3.756
457.3858 284.1479 34.3 3.756
457.3858 284.1479 34.4 3.756
457.3858 284.1479 34.5 3.756
457.3858 284.1479 34.6 3.756
457.3858 284.1479 34.7 3.756
457.3858 284.1479 34.8 3.756
457.3858 284.1479 34.9 3.756
457.3858 284.1479 35.0 3.905
457.3858 284.1479 35.1 3.905
457.3858 284.1479 35.2 3.905
457.3858 284.1479 35.3 3.905
457.3858 284.1479 35.4 3.905
457.3858 284.1479 35.5 3.905
457.3858 284.1479 35.6 3.905
457.3858 284.1479 35.7 3.905
457.3858 284.1479 35.8 3.905
457.3858 284.1479 35.9 3.905
457.3858 284.1479 36.0 3.905
457.3858 284.1479 36.1 3.905
457.3858 284.1479 36.2 3.905
457.3858 284.1479 36.3 3.905
457.3858 284.1479 36.4 3.905
457.3858 284.1479 36.5 3.905
457.3858 284.1479 36.6 3.905
457.3858 284.1479 36.7 3.905
457.3858 284.1479 36.8 3.905
457.3858 284.1479 36.9 3.905
457.3858 284.1479 37.0 3.905
457.3858 284.1479 37.1 3.905
457.3858 284.1479 37.2 3.905
457.3858 284.1479 37.3 3.905
457.3858 284.1479 37.4 3.905
457.3858 284.1479 37.5 3.905
457.3858 284.1479 37.6 3.905
457.3858 284.1479 37.7 3.905
457.3858 284.1479 37.8 3.905
457.3858 284.1479 37.9 3.905
457.3858 284.1479 38.0 3.905
457.3858 284.1479 38.1 3.905
457.3858 284.1479 38.2 3.905
457.3858 284.1479 38.3 3.905
457.3858 284.1479 38.4 3.905
457.3858 284.1479 38.5 3.905
457.3858 284.1479 38.6 3.905
457.3858 284.1479 38.7 3.905
457.3858 284.1479 38.8 3.905
457.3858 284.1479 38.9 3.905
457.3858 284.1479 39.0 3.905
457.3858 284.1479 39.1 3.905
457.3858 284.1479 39.2 3.905
457.3858 284.1479 39.3 3.905
457.3858 284.1479 39.4 3.905
457.3858 284.1479 39.5 3.905
457.3858 284.1479 39.6 3.905
457.3858 284.1479 39.7 3.905
457.3858 284.1479 39.8 3.905
457.3858 284.1479 39.9 3.905
