,Scale,NNb,RMSE
537,16.0,26.0,0.030796178790828018
538,16.0,28.0,0.03145572613515099
539,16.0,30.0,0.03209761516700842
540,16.0,32.0,0.032764800431972524
541,16.0,34.0,0.033402195463228056
542,16.0,36.0,0.03400543712878027
543,16.0,38.0,0.03460982249781538
544,16.0,40.0,0.035211134681856035
545,16.0,42.0,0.035808795578983595
546,16.0,44.0,0.03640401462168978
547,16.0,46.0,0.03700313429293385
548,16.0,48.0,0.03761899403959499
549,16.0,50.0,0.03828502313025515
550,16.0,52.0,0.038975993254211805
551,16.0,54.0,0.03967455370184122
552,16.0,56.0,0.04038915479756841
553,16.0,58.0,0.04105349448577516
554,16.0,60.0,0.04173015959869599
555,16.0,62.0,0.0424017877166992
556,16.0,64.0,0.043069616655366155
557,16.0,66.0,0.043730599856717886
558,16.0,68.0,0.04434551357656743
559,16.0,70.0,0.04494014220375088
560,16.0,72.0,0.04553132913424243
561,16.0,74.0,0.04603992028751389
562,16.0,76.0,0.04653790616098219
563,16.0,78.0,0.04702750072068129
564,16.0,80.0,0.04750239167538262
565,16.0,82.0,0.048025230280897245
566,16.0,84.0,0.04855290767492134
567,16.0,86.0,0.04905045141359798
568,16.0,88.0,0.049574205455735036
569,16.0,90.0,0.05009370450162596
570,16.0,92.0,0.050609129383142416
571,16.0,94.0,0.05116474869729941
572,16.0,96.0,0.05173233251093992
573,16.0,98.0,0.05234809267638765
574,16.0,100.0,0.05293498272276359
575,16.0,102.0,0.05352507196328708
576,16.0,104.0,0.05413629507975993
577,16.0,106.0,0.05477788348816767
578,16.0,108.0,0.055414989533168584
579,16.0,110.0,0.05605421987923196
580,16.0,112.0,0.05666873467255706
581,16.0,114.0,0.05729049441522445
582,16.0,116.0,0.057881106160335455
583,16.0,118.0,0.058489536455533016
584,16.0,120.0,0.05908011538936805
585,16.0,122.0,0.05967444490278346
586,16.0,124.0,0.06026577428105818
587,16.0,126.0,0.060852616716156466
588,16.0,128.0,0.061388070555325636
589,16.0,130.0,0.061931218368750325
590,16.0,132.0,0.06247112683486156
591,16.0,134.0,0.06298613444732276
592,16.0,136.0,0.06350825201686165
593,16.0,138.0,0.06400815710027515
594,16.0,140.0,0.06448704248579673
595,16.0,142.0,0.06497708114358132
596,16.0,144.0,0.06544315425376668
597,16.0,146.0,0.0659081851051064
598,16.0,148.0,0.06637062324473793
599,16.0,150.0,0.066833474762495
600,18.0,2.0,0.02047558563895462
601,18.0,4.0,0.021373390273056743
602,18.0,6.0,0.022261406823901802
603,18.0,8.0,0.023550769086724047
604,18.0,10.0,0.024550346205056594
605,18.0,12.0,0.025531368028825094
606,18.0,14.0,0.02639139245968338
607,18.0,16.0,0.027220492862086925
608,18.0,18.0,0.027954970213719066
609,18.0,20.0,0.028707455887660317
610,18.0,22.0,0.029437153979037713
611,18.0,24.0,0.030159359931714782
612,18.0,26.0,0.030813814308456852
613,18.0,28.0,0.031478894818534456
614,18.0,30.0,0.032150786447340186
615,18.0,32.0,0.0328140297908862
616,18.0,34.0,0.03347823198280806
617,18.0,36.0,0.03410090183765551
618,18.0,38.0,0.03474498474480034
619,18.0,40.0,0.03543106363470658
620,18.0,42.0,0.036133859014840106
621,18.0,44.0,0.03686840557785064
622,18.0,46.0,0.037656848374619495
623,18.0,48.0,0.03847262807946856
624,18.0,50.0,0.039328337091787076
625,18.0,52.0,0.040137848871329436
626,18.0,54.0,0.04094096201291976
627,18.0,56.0,0.0417152541232348
628,18.0,58.0,0.04243876037262866
629,18.0,60.0,0.043155881704678344
630,18.0,62.0,0.04381865719940015
631,18.0,64.0,0.0444409680473896
632,18.0,66.0,0.04505489185933271
633,18.0,68.0,0.045620541438487386
634,18.0,70.0,0.04623346642120622
635,18.0,72.0,0.04683025969489884
636,18.0,74.0,0.047400512717885666
637,18.0,76.0,0.0480244366257189
638,18.0,78.0,0.048603252104269884
639,18.0,80.0,0.04922465333114625
640,18.0,82.0,0.049857342236685226
641,18.0,84.0,0.050488625377521766
642,18.0,86.0,0.051127076550284756
643,18.0,88.0,0.05181556838859041
644,18.0,90.0,0.05250115020154799
645,18.0,92.0,0.05321506171599136
646,18.0,94.0,0.05391665956426588
647,18.0,96.0,0.05461165869789739
648,18.0,98.0,0.05534326939538382
649,18.0,100.0,0.05607950901946281
650,18.0,102.0,0.05680878475905769
651,18.0,104.0,0.0575238844560012
652,18.0,106.0,0.058206547602041546
653,18.0,108.0,0.0588795194103246
654,18.0,110.0,0.059558570416613485
655,18.0,112.0,0.06022521983436365
656,18.0,114.0,0.06088547713993287
657,18.0,116.0,0.06153124125508062
658,18.0,118.0,0.06212437893372998
659,18.0,120.0,0.0627292023091038
660,18.0,122.0,0.06332169357761543
661,18.0,124.0,0.06391338494447575
662,18.0,126.0,0.06447808307436509
663,18.0,128.0,0.06503104849256283
664,18.0,130.0,0.06556899026762988
665,18.0,132.0,0.06611040534764788
666,18.0,134.0,0.0666207343210354
667,18.0,136.0,0.06713192503478584
668,18.0,138.0,0.06762941603455
669,18.0,140.0,0.06814258457615832
670,18.0,142.0,0.06862606138597685
671,18.0,144.0,0.06911967610063946
672,18.0,146.0,0.0695983369451569
673,18.0,148.0,0.07005988726467759
674,18.0,150.0,0.07053482525978935
675,20.0,2.0,0.020440548050670675
676,20.0,4.0,0.021265101191034932
677,20.0,6.0,0.02218032815643465
678,20.0,8.0,0.023512396342654812
679,20.0,10.0,0.024547861896737605
680,20.0,12.0,0.025575261272111342
681,20.0,14.0,0.02644139325977714
682,20.0,16.0,0.027201947549721536
683,20.0,18.0,0.027956484787509176
684,20.0,20.0,0.028693000943709683
685,20.0,22.0,0.02945034342485195
686,20.0,24.0,0.030164152406946778
687,20.0,26.0,0.030850353348253177
688,20.0,28.0,0.03151994612769811
689,20.0,30.0,0.03221719136660426
690,20.0,32.0,0.03289613832183841
691,20.0,34.0,0.03363671995987206
692,20.0,36.0,0.03435142839892224
693,20.0,38.0,0.03515227736609105
694,20.0,40.0,0.036023323055907316
695,20.0,42.0,0.03691660162379833
696,20.0,44.0,0.037835843501173756
697,20.0,46.0,0.038731439019226085
698,20.0,48.0,0.03968345587406569
699,20.0,50.0,0.040610024923408004
700,20.0,52.0,0.04149543076540102
701,20.0,54.0,0.04232489072339509
702,20.0,56.0,0.04307146742937097
703,20.0,58.0,0.04377624927779194
704,20.0,60.0,0.04443505396996745
705,20.0,62.0,0.0451012032359767
706,20.0,64.0,0.04577713980738504
707,20.0,66.0,0.046416385336069024
708,20.0,68.0,0.04709494960651003
709,20.0,70.0,0.04774604168939929
710,20.0,72.0,0.0484707960233537
711,20.0,74.0,0.04918982128350367
712,20.0,76.0,0.049906242876075264
713,20.0,78.0,0.05066667559748624
714,20.0,80.0,0.05147610607170001
715,20.0,82.0,0.05226182916572687
716,20.0,84.0,0.05308004693703885
717,20.0,86.0,0.053932747439759995
718,20.0,88.0,0.054725466683446314
719,20.0,90.0,0.05554860389082836
720,20.0,92.0,0.05636003027716904
721,20.0,94.0,0.057142873338916496
722,20.0,96.0,0.057953322443811794
723,20.0,98.0,0.05874837477481033
724,20.0,100.0,0.05951962785680792
725,20.0,102.0,0.06025240740394236
726,20.0,104.0,0.06096678277507697
727,20.0,106.0,0.061663705022824034
728,20.0,108.0,0.062366635257414656
729,20.0,110.0,0.06300075237631994
730,20.0,112.0,0.06365488614746001
731,20.0,114.0,0.0642767108768687
732,20.0,116.0,0.06491585197596851
733,20.0,118.0,0.06551597835062334
734,20.0,120.0,0.06609899525308947
735,20.0,122.0,0.06670390724939275
736,20.0,124.0,0.06729022078949015
737,20.0,126.0,0.06786651451192942
738,20.0,128.0,0.06842553870543965
739,20.0,130.0,0.06900798221839934
740,20.0,132.0,0.06953585708043997
741,20.0,134.0,0.07007711277754419
742,20.0,136.0,0.07060307289679958
743,20.0,138.0,0.07112372276301153
744,20.0,140.0,0.07163902267685283
745,20.0,142.0,0.07214350925990562
746,20.0,144.0,0.07264811140017376
747,20.0,146.0,0.07314082945568424
748,20.0,148.0,0.07361419956813861
749,20.0,150.0,0.07407919678168325
750,22.0,2.0,0.020432556384632754
751,22.0,4.0,0.021244723924071108
752,22.0,6.0,0.02211471003801997
753,22.0,8.0,0.023549653963837725
754,22.0,10.0,0.02455014677588568
755,22.0,12.0,0.02559642359167231
756,22.0,14.0,0.02643758924553872
757,22.0,16.0,0.027207451219101876
758,22.0,18.0,0.027947537990649047
759,22.0,20.0,0.028700788620837508
760,22.0,22.0,0.029449568869936774
761,22.0,24.0,0.030215099578310575
762,22.0,26.0,0.030905849864001227
763,22.0,28.0,0.03159726455079396
764,22.0,30.0,0.03233100866432712
765,22.0,32.0,0.033120604164310244
766,22.0,34.0,0.034009695276910924
767,22.0,36.0,0.0349270008545221
768,22.0,38.0,0.03593250942418067
769,22.0,40.0,0.03700139195250203
770,22.0,42.0,0.038068009146456985
771,22.0,44.0,0.03914483683956183
772,22.0,46.0,0.040201570537703256
773,22.0,48.0,0.041187752011001146
774,22.0,50.0,0.042032243141182084
775,22.0,52.0,0.04282149646373073
776,22.0,54.0,0.043571740602199434
777,22.0,56.0,0.04432783822655887
778,22.0,58.0,0.0450514435967894
779,22.0,60.0,0.04576498195863713
780,22.0,62.0,0.0464865780774869
781,22.0,64.0,0.04729539594000802
782,22.0,66.0,0.04807010786983225
783,22.0,68.0,0.04889781733771818
784,22.0,70.0,0.04973307424689794
785,22.0,72.0,0.05061493541375493
786,22.0,74.0,0.05150483764639174
787,22.0,76.0,0.05241436315737216
788,22.0,78.0,0.05335407303226303
789,22.0,80.0,0.05428670087121349
790,22.0,82.0,0.055191808477005375
791,22.0,84.0,0.05613306769187154
792,22.0,86.0,0.05705151687197452
793,22.0,88.0,0.057927112507533345
794,22.0,90.0,0.05873891530196444
795,22.0,92.0,0.05956653553146642
796,22.0,94.0,0.06039302452950767
797,22.0,96.0,0.061212926548454796
798,22.0,98.0,0.0619831973970513
799,22.0,100.0,0.06277243686262858
800,22.0,102.0,0.06353965335430613
801,22.0,104.0,0.06425160294741081
802,22.0,106.0,0.06495486225886452
803,22.0,108.0,0.06561917277383103
804,22.0,110.0,0.06628351582355659
805,22.0,112.0,0.06695097147929843
806,22.0,114.0,0.06758179594815404
807,22.0,116.0,0.068197932527296
808,22.0,118.0,0.0688330463237114
809,22.0,120.0,0.06941518868438702
810,22.0,122.0,0.0700009344259566
811,22.0,124.0,0.07058395865670729
812,22.0,126.0,0.0711594626239925
813,22.0,128.0,0.07171185096886412
